time	V(n002)	V(n003)
3.710854818671085e-02	3.398000e+01	4.775850e+00
3.730386068671086e-02	3.429198e+01	4.776533e+00
3.749917318671086e-02	3.441535e+01	4.776802e+00
3.769448568671086e-02	3.435024e+01	4.776660e+00
3.788979818671086e-02	3.409871e+01	4.776111e+00
3.808511068671087e-02	3.366642e+01	4.775158e+00
3.828042318671087e-02	3.307074e+01	4.773829e+00
3.847573568671087e-02	3.235648e+01	4.772209e+00
3.867104818671088e-02	3.158985e+01	4.770441e+00
3.881568227626409e-02	3.102058e+01	4.769104e+00
3.895563632762886e-02	3.048089e+01	4.767813e+00
3.915094882762886e-02	2.974496e+01	4.766020e+00
3.934626132762886e-02	2.902713e+01	4.764234e+00
3.954157382762886e-02	2.832833e+01	4.762457e+00
3.973688632762887e-02	2.764804e+01	4.760688e+00
3.993219882762887e-02	2.698579e+01	4.758926e+00
4.012751132762887e-02	2.634107e+01	4.757171e+00
4.032282382762888e-02	2.571344e+01	4.755423e+00
4.051813632762888e-02	2.510244e+01	4.753681e+00
4.071344882762888e-02	2.450763e+01	4.751945e+00
4.090876132762888e-02	2.392858e+01	4.750213e+00
4.110407382762889e-02	2.336486e+01	4.748487e+00
4.129938632762889e-02	2.281608e+01	4.746765e+00
4.149469882762889e-02	2.228184e+01	4.745047e+00
4.169001132762890e-02	2.176175e+01	4.743332e+00
4.188532382762890e-02	2.125543e+01	4.741620e+00
4.208063632762890e-02	2.076253e+01	4.739911e+00
4.227594882762890e-02	2.028267e+01	4.738204e+00
4.247126132762891e-02	1.981553e+01	4.736499e+00
4.266657382762891e-02	1.936076e+01	4.734795e+00
4.286188632762891e-02	1.891803e+01	4.733091e+00
4.305719882762891e-02	1.848702e+01	4.731388e+00
4.325251132762892e-02	1.806743e+01	4.729685e+00
4.344782382762892e-02	1.765894e+01	4.727981e+00
4.364313632762892e-02	1.726127e+01	4.726276e+00
4.383844882762893e-02	1.687413e+01	4.724569e+00
4.403376132762893e-02	1.649723e+01	4.722860e+00
4.422907382762893e-02	1.613031e+01	4.721149e+00
4.442438632762893e-02	1.577310e+01	4.719435e+00
4.461969882762894e-02	1.542535e+01	4.717717e+00
4.481501132762894e-02	1.508679e+01	4.715994e+00
4.501032382762894e-02	1.475720e+01	4.714267e+00
4.520563632762895e-02	1.443632e+01	4.712534e+00
4.540094882762895e-02	1.412394e+01	4.710795e+00
4.559626132762895e-02	1.381981e+01	4.709050e+00
4.579157382762895e-02	1.352374e+01	4.707297e+00
4.598688632762896e-02	1.323549e+01	4.705537e+00
